date,region,categorie,ventes,clients,prix_moyen,marge,cout_marketing,satisfaction_client
2024-01-15,Nord,Electronique,12500,78,160.26,3125.50,1250.00,4.2
2024-01-15,Sud,Electronique,9800,62,158.06,2450.00,980.00,4.1
2024-01-15,Est,Electronique,7600,45,168.89,1900.00,760.00,4.3
2024-01-15,Ouest,Electronique,11200,70,160.00,2800.00,1120.00,4.0
2024-01-15,Centre,Electronique,8900,55,161.82,2225.00,890.00,4.2
2024-01-15,Nord-Est,Electronique,7200,44,163.64,1800.00,720.00,4.1
2024-01-15,Nord,Mobilier,8700,35,248.57,3045.00,870.00,4.5
2024-01-15,Sud,Mobilier,7200,29,248.28,2520.00,720.00,4.3
2024-01-15,Est,Mobilier,5400,22,245.45,1890.00,540.00,4.4
2024-01-15,Ouest,Mobilier,9100,37,245.95,3185.00,910.00,4.2
2024-01-15,Centre,Mobilier,6800,28,242.86,2380.00,680.00,4.3
2024-01-15,Nord-Est,Mobilier,5100,21,242.86,1785.00,510.00,4.4
2024-01-15,Nord,Fournitures,4200,105,40.00,1260.00,420.00,4.0
2024-01-15,Sud,Fournitures,3800,95,40.00,1140.00,380.00,3.9
2024-01-15,Est,Fournitures,2900,73,39.73,870.00,290.00,4.1
2024-01-15,Ouest,Fournitures,4500,113,39.82,1350.00,450.00,4.0
2024-01-15,Centre,Fournitures,3600,90,40.00,1080.00,360.00,3.8
2024-01-15,Nord-Est,Fournitures,2700,68,39.71,810.00,270.00,4.0
2024-01-15,Nord,Decoration,3100,31,100.00,1395.00,310.00,4.7
2024-01-15,Sud,Decoration,2800,28,100.00,1260.00,280.00,4.6
2024-01-15,Est,Decoration,2200,22,100.00,990.00,220.00,4.8
2024-01-15,Ouest,Decoration,3400,34,100.00,1530.00,340.00,4.5
2024-01-15,Centre,Decoration,2600,26,100.00,1170.00,260.00,4.6
2024-01-15,Nord-Est,Decoration,1900,19,100.00,855.00,190.00,4.7
2024-01-15,Nord,Services,5600,28,200.00,3360.00,560.00,4.4
2024-01-15,Sud,Services,4900,25,196.00,2940.00,490.00,4.3
2024-01-15,Est,Services,3800,19,200.00,2280.00,380.00,4.5
2024-01-15,Ouest,Services,6100,31,196.77,3660.00,610.00,4.2
2024-01-15,Centre,Services,4500,23,195.65,2700.00,450.00,4.3
2024-01-15,Nord-Est,Services,3200,16,200.00,1920.00,320.00,4.4
2024-02-15,Nord,Electronique,11800,74,159.46,2950.00,1180.00,4.3
2024-02-15,Sud,Electronique,10200,65,156.92,2550.00,1020.00,4.2
2024-02-15,Est,Electronique,8100,48,168.75,2025.00,810.00,4.4
2024-02-15,Ouest,Electronique,12000,75,160.00,3000.00,1200.00,4.1
2024-02-15,Centre,Electronique,9500,59,161.02,2375.00,950.00,4.3
2024-02-15,Nord-Est,Electronique,7800,48,162.50,1950.00,780.00,4.2
2024-02-15,Nord,Mobilier,9200,38,242.11,3220.00,920.00,4.6
2024-02-15,Sud,Mobilier,7800,32,243.75,2730.00,780.00,4.4
2024-02-15,Est,Mobilier,5900,24,245.83,2065.00,590.00,4.5
2024-02-15,Ouest,Mobilier,9800,40,245.00,3430.00,980.00,4.3
2024-02-15,Centre,Mobilier,7300,30,243.33,2555.00,730.00,4.4
2024-02-15,Nord-Est,Mobilier,5600,23,243.48,1960.00,560.00,4.5
2024-03-15,Nord,Electronique,13200,83,159.04,3300.00,1320.00,4.2
2024-03-15,Sud,Electronique,10800,68,158.82,2700.00,1080.00,4.1
2024-03-15,Est,Electronique,8500,50,170.00,2125.00,850.00,4.3
2024-03-15,Ouest,Electronique,12800,80,160.00,3200.00,1280.00,4.0
2024-03-15,Centre,Electronique,10100,63,160.32,2525.00,1010.00,4.2
2024-03-15,Nord-Est,Electronique,8200,50,164.00,2050.00,820.00,4.1
2024-03-15,Nord,Mobilier,9800,40,245.00,3430.00,980.00,4.5
2024-03-15,Sud,Mobilier,8300,34,244.12,2905.00,830.00,4.3
2024-03-15,Est,Mobilier,6200,25,248.00,2170.00,620.00,4.4
2024-03-15,Ouest,Mobilier,10400,42,247.62,3640.00,1040.00,4.2
2024-03-15,Centre,Mobilier,7800,32,243.75,2730.00,780.00,4.3
2024-03-15,Nord-Est,Mobilier,5900,24,245.83,2065.00,590.00,4.4
2024-04-15,Nord,Electronique,14500,91,159.34,3625.00,1450.00,4.3
2024-04-15,Sud,Electronique,11500,72,159.72,2875.00,1150.00,4.2
2024-04-15,Est,Electronique,9200,54,170.37,2300.00,920.00,4.4
2024-04-15,Ouest,Electronique,13600,85,160.00,3400.00,1360.00,4.1
2024-04-15,Centre,Electronique,10800,67,161.19,2700.00,1080.00,4.3
2024-04-15,Nord-Est,Electronique,8900,54,164.81,2225.00,890.00,4.2
2024-04-15,Nord,Services,6800,34,200.00,4080.00,680.00,4.5
2024-04-15,Sud,Services,5900,30,196.67,3540.00,590.00,4.4
2024-04-15,Est,Services,4600,23,200.00,2760.00,460.00,4.6
2024-04-15,Ouest,Services,7400,37,200.00,4440.00,740.00,4.3
2024-04-15,Centre,Services,5500,28,196.43,3300.00,550.00,4.4
2024-04-15,Nord-Est,Services,3900,20,195.00,2340.00,390.00,4.5
2024-05-15,Nord,Electronique,15800,99,159.60,3950.00,1580.00,4.2
2024-05-15,Sud,Electronique,12300,77,159.74,3075.00,1230.00,4.1
2024-05-15,Est,Electronique,9800,58,168.97,2450.00,980.00,4.3
2024-05-15,Ouest,Electronique,14500,91,159.34,3625.00,1450.00,4.0
2024-05-15,Centre,Electronique,11500,72,159.72,2875.00,1150.00,4.2
2024-05-15,Nord-Est,Electronique,9500,58,163.79,2375.00,950.00,4.1
2024-05-15,Nord,Decoration,4200,42,100.00,1890.00,420.00,4.7
2024-05-15,Sud,Decoration,3800,38,100.00,1710.00,380.00,4.6
2024-05-15,Est,Decoration,3000,30,100.00,1350.00,300.00,4.8
2024-05-15,Ouest,Decoration,4600,46,100.00,2070.00,460.00,4.5
2024-05-15,Centre,Decoration,3500,35,100.00,1575.00,350.00,4.6
2024-05-15,Nord-Est,Decoration,2600,26,100.00,1170.00,260.00,4.7
2024-06-15,Nord,Electronique,14200,89,159.55,3550.00,1420.00,4.3
2024-06-15,Sud,Electronique,11000,69,159.42,2750.00,1100.00,4.2
2024-06-15,Est,Electronique,8800,52,169.23,2200.00,880.00,4.4
2024-06-15,Ouest,Electronique,13000,81,160.49,3250.00,1300.00,4.1
2024-06-15,Centre,Electronique,10300,64,160.94,2575.00,1030.00,4.3
2024-06-15,Nord-Est,Electronique,8500,52,163.46,2125.00,850.00,4.2
2024-06-15,Nord,Fournitures,5100,128,39.84,1530.00,510.00,4.0
2024-06-15,Sud,Fournitures,4600,115,40.00,1380.00,460.00,3.9
2024-06-15,Est,Fournitures,3500,88,39.77,1050.00,350.00,4.1
2024-06-15,Ouest,Fournitures,5500,138,39.86,1650.00,550.00,4.0
2024-06-15,Centre,Fournitures,4400,110,40.00,1320.00,440.00,3.8
2024-06-15,Nord-Est,Fournitures,3300,83,39.76,990.00,330.00,4.0
2024-07-15,Nord,Electronique,13500,84,160.71,3375.00,1350.00,4.2
2024-07-15,Sud,Electronique,10500,66,159.09,2625.00,1050.00,4.1
2024-07-15,Est,Electronique,8300,49,169.39,2075.00,830.00,4.3
2024-07-15,Ouest,Electronique,12300,77,159.74,3075.00,1230.00,4.0
2024-07-15,Centre,Electronique,9800,61,160.66,2450.00,980.00,4.2
2024-07-15,Nord-Est,Electronique,8000,49,163.27,2000.00,800.00,4.1
2024-07-15,Nord,Mobilier,10500,43,244.19,3675.00,1050.00,4.5
2024-07-15,Sud,Mobilier,8900,36,247.22,3115.00,890.00,4.3
2024-07-15,Est,Mobilier,6700,27,248.15,2345.00,670.00,4.4
2024-07-15,Ouest,Mobilier,11200,45,248.89,3920.00,1120.00,4.2
2024-07-15,Centre,Mobilier,8400,34,247.06,2940.00,840.00,4.3
2024-07-15,Nord-Est,Mobilier,6300,26,242.31,2205.00,630.00,4.4
2024-08-15,Nord,Electronique,12800,80,160.00,3200.00,1280.00,4.3
2024-08-15,Sud,Electronique,9900,62,159.68,2475.00,990.00,4.2
2024-08-15,Est,Electronique,7800,46,169.57,1950.00,780.00,4.4
2024-08-15,Ouest,Electronique,11600,73,158.90,2900.00,1160.00,4.1
2024-08-15,Centre,Electronique,9200,57,161.40,2300.00,920.00,4.3
2024-08-15,Nord-Est,Electronique,7500,46,163.04,1875.00,750.00,4.2
2024-08-15,Nord,Services,7200,36,200.00,4320.00,720.00,4.5
2024-08-15,Sud,Services,6300,32,196.88,3780.00,630.00,4.4
2024-08-15,Est,Services,4900,25,196.00,2940.00,490.00,4.6
2024-08-15,Ouest,Services,7800,39,200.00,4680.00,780.00,4.3
2024-08-15,Centre,Services,5800,29,200.00,3480.00,580.00,4.4
2024-08-15,Nord-Est,Services,4100,21,195.24,2460.00,410.00,4.5
2024-09-15,Nord,Electronique,14800,93,159.14,3700.00,1480.00,4.2
2024-09-15,Sud,Electronique,11500,72,159.72,2875.00,1150.00,4.1
2024-09-15,Est,Electronique,9100,54,168.52,2275.00,910.00,4.3
2024-09-15,Ouest,Electronique,13500,84,160.71,3375.00,1350.00,4.0
2024-09-15,Centre,Electronique,10700,67,159.70,2675.00,1070.00,4.2
2024-09-15,Nord-Est,Electronique,8800,54,162.96,2200.00,880.00,4.1
2024-09-15,Nord,Decoration,4500,45,100.00,2025.00,450.00,4.7
2024-09-15,Sud,Decoration,4100,41,100.00,1845.00,410.00,4.6
2024-09-15,Est,Decoration,3200,32,100.00,1440.00,320.00,4.8
2024-09-15,Ouest,Decoration,4900,49,100.00,2205.00,490.00,4.5
2024-09-15,Centre,Decoration,3800,38,100.00,1710.00,380.00,4.6
2024-09-15,Nord-Est,Decoration,2800,28,100.00,1260.00,280.00,4.7
2024-10-15,Nord,Electronique,16200,101,160.40,4050.00,1620.00,4.3
2024-10-15,Sud,Electronique,12800,80,160.00,3200.00,1280.00,4.2
2024-10-15,Est,Electronique,10200,60,170.00,2550.00,1020.00,4.4
2024-10-15,Ouest,Electronique,15000,94,159.57,3750.00,1500.00,4.1
2024-10-15,Centre,Electronique,11900,74,160.81,2975.00,1190.00,4.3
2024-10-15,Nord-Est,Electronique,9800,60,163.33,2450.00,980.00,4.2
2024-10-15,Nord,Fournitures,5500,138,39.86,1650.00,550.00,4.0
2024-10-15,Sud,Fournitures,5000,125,40.00,1500.00,500.00,3.9
2024-10-15,Est,Fournitures,3800,95,40.00,1140.00,380.00,4.1
2024-10-15,Ouest,Fournitures,5900,148,39.86,1770.00,590.00,4.0
2024-10-15,Centre,Fournitures,4700,118,39.83,1410.00,470.00,3.8
2024-10-15,Nord-Est,Fournitures,3500,88,39.77,1050.00,350.00,4.0
2024-11-15,Nord,Electronique,17500,109,160.55,4375.00,1750.00,4.2
2024-11-15,Sud,Electronique,13800,86,160.47,3450.00,1380.00,4.1
2024-11-15,Est,Electronique,11000,65,169.23,2750.00,1100.00,4.3
2024-11-15,Ouest,Electronique,16200,101,160.40,4050.00,1620.00,4.0
2024-11-15,Centre,Electronique,12800,80,160.00,3200.00,1280.00,4.2
2024-11-15,Nord-Est,Electronique,10500,64,164.06,2625.00,1050.00,4.1
2024-11-15,Nord,Mobilier,11800,48,245.83,4130.00,1180.00,4.5
2024-11-15,Sud,Mobilier,10000,41,243.90,3500.00,1000.00,4.3
2024-11-15,Est,Mobilier,7500,30,250.00,2625.00,750.00,4.4
2024-11-15,Ouest,Mobilier,12500,50,250.00,4375.00,1250.00,4.2
2024-11-15,Centre,Mobilier,9400,38,247.37,3290.00,940.00,4.3
2024-11-15,Nord-Est,Mobilier,7100,29,244.83,2485.00,710.00,4.4
2024-12-15,Nord,Electronique,18800,118,159.32,4700.00,1880.00,4.3
2024-12-15,Sud,Electronique,14900,93,160.22,3725.00,1490.00,4.2
2024-12-15,Est,Electronique,11800,70,168.57,2950.00,1180.00,4.4
2024-12-15,Ouest,Electronique,17500,109,160.55,4375.00,1750.00,4.1
2024-12-15,Centre,Electronique,13800,86,160.47,3450.00,1380.00,4.3
2024-12-15,Nord-Est,Electronique,11300,69,163.77,2825.00,1130.00,4.2
2024-12-15,Nord,Services,8500,43,197.67,5100.00,850.00,4.5
2024-12-15,Sud,Services,7400,37,200.00,4440.00,740.00,4.4
2024-12-15,Est,Services,5800,29,200.00,3480.00,580.00,4.6
2024-12-15,Ouest,Services,9200,46,200.00,5520.00,920.00,4.3
2024-12-15,Centre,Services,6900,35,197.14,4140.00,690.00,4.4
2024-12-15,Nord-Est,Services,4800,24,200.00,2880.00,480.00,4.5