Trimestre,Region,Categorie,Produit,Ventes,Unites,Cout,Marketing
2023-Q1,Nord,A,Produit1,125000,500,75000,15000
2023-Q1,Nord,A,Produit2,98000,350,58800,12000
2023-Q1,Nord,B,Produit5,45000,150,22500,8000
2023-Q1,Nord,B,Produit6,62000,200,37200,10000
2023-Q1,Sud,A,Produit1,110000,440,66000,14000
2023-Q1,Sud,A,Produit2,85000,300,51000,11000
2023-Q1,Sud,B,Produit5,38000,125,19000,7500
2023-Q1,Sud,B,Produit6,55000,180,33000,9000
2023-Q1,Est,A,Produit1,95000,380,57000,12000
2023-Q1,Est,A,Produit2,78000,280,46800,10000
2023-Q1,Est,B,Produit5,42000,140,21000,7000
2023-Q1,Est,B,Produit6,58000,190,34800,9500
2023-Q1,Ouest,A,Produit1,105000,420,63000,13000
2023-Q1,Ouest,A,Produit2,88000,315,52800,11500
2023-Q1,Ouest,B,Produit5,40000,135,20000,7800
2023-Q1,Ouest,B,Produit6,59000,195,35400,9800
2023-Q1,Centre,A,Produit1,92000,368,55200,11500
2023-Q1,Centre,A,Produit2,75000,268,45000,9500
2023-Q1,Centre,B,Produit5,36000,120,18000,6500
2023-Q1,Centre,B,Produit6,52000,170,31200,8500
2023-Q2,Nord,A,Produit1,135000,540,81000,16000
2023-Q2,Nord,A,Produit2,105000,375,63000,13000
2023-Q2,Nord,B,Produit5,48000,160,24000,8500
2023-Q2,Nord,B,Produit6,65000,210,39000,10500
2023-Q2,Sud,A,Produit1,112000,448,67200,14500
2023-Q2,Sud,A,Produit2,87000,310,52200,11500
2023-Q2,Sud,B,Produit5,39000,130,19500,7800
2023-Q2,Sud,B,Produit6,56000,185,33600,9200
2023-Q2,Est,A,Produit1,96000,384,57600,12500
2023-Q2,Est,A,Produit2,79000,282,47400,10200
2023-Q2,Est,B,Produit5,42500,142,21250,7200
2023-Q2,Est,B,Produit6,58500,192,35100,9600
2023-Q2,Ouest,A,Produit1,108000,432,64800,13500
2023-Q2,Ouest,A,Produit2,90000,321,54000,12000
2023-Q2,Ouest,B,Produit5,41000,137,20500,8000
2023-Q2,Ouest,B,Produit6,60000,198,36000,10000
2023-Q2,Centre,A,Produit1,94000,376,56400,12000
2023-Q2,Centre,A,Produit2,76000,271,45600,9800
2023-Q2,Centre,B,Produit5,37000,123,18500,6800
2023-Q2,Centre,B,Produit6,53000,174,31800,8800
2023-Q3,Nord,A,Produit1,128000,512,76800,15500
2023-Q3,Nord,A,Produit2,100000,357,60000,12500
2023-Q3,Nord,B,Produit5,46000,153,23000,8200
2023-Q3,Nord,B,Produit6,63000,205,37800,10200
2023-Q3,Sud,A,Produit1,105000,420,63000,13500
2023-Q3,Sud,A,Produit2,82000,293,49200,10800
2023-Q3,Sud,B,Produit5,37000,123,18500,7200
2023-Q3,Sud,B,Produit6,54000,176,32400,8800
2023-Q3,Est,A,Produit1,94000,376,56400,12200
2023-Q3,Est,A,Produit2,77000,275,46200,9900
2023-Q3,Est,B,Produit5,41000,137,20500,7100
2023-Q3,Est,B,Produit6,57000,186,34200,9400
2023-Q3,Ouest,A,Produit1,102000,408,61200,13200
2023-Q3,Ouest,A,Produit2,86000,307,51600,11200
2023-Q3,Ouest,B,Produit5,39000,130,19500,7600
2023-Q3,Ouest,B,Produit6,58000,189,34800,9600
2023-Q3,Centre,A,Produit1,90000,360,54000,11200
2023-Q3,Centre,A,Produit2,73000,261,43800,9200
2023-Q3,Centre,B,Produit5,35000,117,17500,6200
2023-Q3,Centre,B,Produit6,51000,166,30600,8200
2023-Q4,Nord,A,Produit1,150000,600,90000,18000
2023-Q4,Nord,A,Produit2,115000,411,69000,14000
2023-Q4,Nord,B,Produit5,52000,173,26000,9000
2023-Q4,Nord,B,Produit6,70000,228,42000,11000
2023-Q4,Sud,A,Produit1,125000,500,75000,15000
2023-Q4,Sud,A,Produit2,95000,339,57000,12000
2023-Q4,Sud,B,Produit5,42000,140,21000,8000
2023-Q4,Sud,B,Produit6,60000,196,36000,9500
2023-Q4,Est,A,Produit1,98000,392,58800,12800
2023-Q4,Est,A,Produit2,80000,286,48000,10500
2023-Q4,Est,B,Produit5,43000,143,21500,7500
2023-Q4,Est,B,Produit6,59000,193,35400,9800
2023-Q4,Ouest,A,Produit1,115000,460,69000,14000
2023-Q4,Ouest,A,Produit2,95000,339,57000,12500
2023-Q4,Ouest,B,Produit5,44000,147,22000,8500
2023-Q4,Ouest,B,Produit6,62000,202,37200,10500
2023-Q4,Centre,A,Produit1,100000,400,60000,12500
2023-Q4,Centre,A,Produit2,82000,293,49200,10500
2023-Q4,Centre,B,Produit5,39000,130,19500,7000
2023-Q4,Centre,B,Produit6,56000,183,33600,9000
2024-Q1,Nord,A,Produit1,145000,580,87000,17000
2024-Q1,Nord,A,Produit2,112000,400,67200,14000
2024-Q1,Nord,B,Produit5,51000,170,25500,9000
2024-Q1,Nord,B,Produit6,68000,221,40800,11000
2024-Q1,Sud,A,Produit1,115000,460,69000,14500
2024-Q1,Sud,A,Produit2,90000,321,54000,11500
2024-Q1,Sud,B,Produit5,40000,133,20000,7800
2024-Q1,Sud,B,Produit6,58000,189,34800,9500
2024-Q1,Est,A,Produit1,96000,384,57600,12500
2024-Q1,Est,A,Produit2,79000,282,47400,10200
2024-Q1,Est,B,Produit5,42000,140,21000,7200
2024-Q1,Est,B,Produit6,58000,189,34800,9600
2024-Q1,Ouest,A,Produit1,110000,440,66000,13800
2024-Q1,Ouest,A,Produit2,92000,329,55200,12000
2024-Q1,Ouest,B,Produit5,42000,140,21000,8200
2024-Q1,Ouest,B,Produit6,61000,199,36600,10200
2024-Q1,Centre,A,Produit1,95000,380,57000,12000
2024-Q1,Centre,A,Produit2,78000,279,46800,10000
2024-Q1,Centre,B,Produit5,37000,123,18500,6800
2024-Q1,Centre,B,Produit6,54000,176,32400,8800